[3/1/2016 14:26:32] /light
[3/1/2016 14:26:32] /light
[3/1/2016 14:26:34] /town gm island
[3/1/2016 14:45:40] /i 1227 1
[3/1/2016 14:46:2] /i torch 1
[3/1/2016 14:46:7] /i 1227
[3/1/2016 14:47:22] /town kazrodoon
[3/1/2016 14:48:52] /i torch
[3/1/2016 14:49:6] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:7] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
[3/1/2016 14:49:8] /i torch
